<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.12	00:00:00	1.10074	1.10216	1.09972	1.10187	2921	0	0
2023.07.12	04:00:00	1.10187	1.10369	1.10185	1.10362	5539	0	0
2023.07.12	08:00:00	1.10362	1.10362	1.10205	1.10223	9133	0	0
2023.07.12	12:00:00	1.10222	1.10720	1.10136	1.10582	20025	0	0
2023.07.12	16:00:00	1.10583	1.11335	1.10563	1.11321	30965	0	0
2023.07.12	20:00:00	1.11319	1.11404	1.11246	1.11292	6902	0	0
2023.07.13	00:00:00	1.11251	1.11451	1.11251	1.11381	3549	0	0
2023.07.13	04:00:00	1.11381	1.11488	1.11365	1.11411	4948	0	0
2023.07.13	08:00:00	1.11411	1.11701	1.11296	1.11610	16280	0	0
2023.07.13	12:00:00	1.11610	1.11893	1.11552	1.11797	18972	0	0
2023.07.13	16:00:00	1.11799	1.12089	1.11763	1.12059	21999	0	0
2023.07.13	20:00:00	1.12058	1.12279	1.12023	1.12252	7708	0	0
2023.07.14	00:00:00	1.12257	1.12296	1.12028	1.12227	4480	0	0
2023.07.14	04:00:00	1.12227	1.12429	1.12222	1.12332	6006	0	0
2023.07.14	08:00:00	1.12332	1.12358	1.12043	1.12313	11959	0	0
2023.07.14	12:00:00	1.12313	1.12450	1.12099	1.12258	14077	0	0
2023.07.14	16:00:00	1.12258	1.12444	1.12150	1.12395	23095	0	0
2023.07.14	20:00:00	1.12399	1.12399	1.12265	1.12303	4117	0	0
2023.07.17	00:00:00	1.12288	1.12345	1.12195	1.12246	2652	0	0
2023.07.17	04:00:00	1.12246	1.12284	1.12145	1.12270	4389	0	0
2023.07.17	08:00:00	1.12270	1.12488	1.12221	1.12380	10436	0	0
2023.07.17	12:00:00	1.12380	1.12450	1.12209	1.12356	10852	0	0
2023.07.17	16:00:00	1.12356	1.12380	1.12033	1.12355	11208	0	0
